sector,expiry,title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills
"Accounting, Finance, and Insurance",,Accountant Admin,"Our company is currently seeking a detail-oriented and organized Accountant  Admin to join our team. 
You will play a crucial role in managing our...",Dubai,Confidential,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/accountant-admin-73130,19 Sep 2024 -,1 -  UAE Dirhams(Monthly),Accounts
Administrative and Secretarial Services,,Account Assistant,"Accounts assistants supply administrative support to accountants by performing clerical tasks such as filing, handling mail, making phone calls, re...",Sharjah,AMAN GROUP LLC,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/account-assistant-72901,13 Sep 2024 -,3500 - 5000 UAE Dirhams(Monthly),Accounting & Finance
Administrative and Secretarial Services,,Office Boy,"Accounting company in Dubai is looking for an office boy
Please send your cv on this number ***",Dubai,Accounting company,,,Full time,,,Entry,,1+ Years,https://www.gulfjobs.com/job/office-boy-72767,10 Sep 2024 -,1500 -  UAE Dirhams(Monthly),Office Boy
"Accounting, Finance, and Insurance",,Accountant,"Responsibilities
•Manage all accounting transactions
•Prepare budget forecasts
• Publish financial statements in time
• Handle monthly, quarterly a...",Dubai,Rendom Co,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/accountant-72321,30 Aug 2024 -,4500 - 12000 UAE Dirhams(Monthly),Accounting
"Accounting, Finance, and Insurance",,Accountant,"Must have knowledge in accounting cycle and with experience in financial statement.

Polite, hardworking and can handle pressure

Must be a graduat...",Abu Dhabi,Book Works Consultancy,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/accountant-72196,28 Aug 2024 -,2500 - 3500 UAE Dirhams(Monthly),Accountancy
Administrative and Secretarial Services,,Secretary and receptionist,"Accounting company in Dubai is required a Phlipino girl to work as secretary and receptionist
Please send your CV by what'sapp on this number ***",Dubai,Accounting company,,,Full time,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/secretary-and-receptionist-71740,17 Aug 2024 -,100 -  UAE Dirhams(Monthly),Business Communication Skills
"Communications, Marketing, and Sales",,Admin Executive,"We are looking for a knowledgeful administrator having knowledge on invoicing , visa procedures and company formation in UAE. 

English and Hindi i...",Dubai,N E X O Global Management Consultancies LLC,,,Full time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/admin-executive-71708,16 Aug 2024 -,2500 - 3500 UAE Dirhams(Monthly),"Account Management, Accounting & Finance, Admin HR, Customer Relationship, Front Office Management"
International Development and NGO,,Field Sales Executive,"Roles & Responsibilities
· Proactively identify and develop profitable new opportunities, through existing and potential clients to generate increa...",Dubai,Alahramat,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/field-sales-executive-71156,31 Jul 2024 -,5000 - 7500 UAE Dirhams(Monthly),"Advertising Sales, Direct Sales, Financial Services Sales, Outside Sales, Sales Call"
Engineering and Technology,,Senior Transfer Pricing Specialist,"Qualifications:

Minimum of 3 years' experience in transfer pricing section
An understanding of complex transfer pricing concepts and broad exposur...",Dubai,Ali Al Shaibany Certified Public Accountants and Auditors,,,Contract,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/senior-transfer-pricing-specialist-70913,23 Jul 2024 -,1 -  UAE Dirhams(Monthly),"Account Audit, Accounting, Accounting & Finance, Audit, Auditing, Pricing"
Administrative and Secretarial Services,,Account Assistant,"Maintaining accounts in Tally Software. Preparation of Bank reconciliation monthly, VAT return filing, Preparation of Income Statement and Balance...",Ajman,Acosoft FZC,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/account-assistant-70730,16 Jul 2024 -,2000 - 2500 UAE Dirhams(Monthly),Account Audit
"Architecture, Design, and Construction",,Interior Designer - Arabic Speaker,"•Responsible for making creative designs for exhibition stands and events.
•Excellent communication and team work skills.
•Attention to details and...",Dubai,RAC Events,,,Full time,,,Entry,,1+ Years,https://www.gulfjobs.com/job/interior-designer-arabic-speaker-73088,18 Sep 2024 -,6000 - 10000 UAE Dirhams(Monthly),"3D, 3D Modeling, 3D Visualization, AutoCAD 2D, Design, Illustrator"
Engineering and Technology,,Web Designer Developer,"The web developer is responsible for planning and developing software solutions and web applications, supporting and maintaining a company’s websit...",Dubai,Newfield Exhibition Organizing LLC,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/web-designer-developer-73022,16 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),"Communication Skills, Creative Solutions, Problem Solving, Responsive Designs, Web Designer"
Health and Wellness,,Admin Staff,"Admin staff assist administrative managers in managing schedules, budget, personnel databases, and generating reports. This role also requires a si...",Dubai,Newfield Exhibition Organizing LLC,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/admin-staff-73017,16 Sep 2024 -,2500 - 4000 UAE Dirhams(Monthly),"Communication Skills, Computer Application"
