Title,Company,Location,Job Type,Posted Time,Salary,Job Link,Qualifications,Responsibilities,Experience,Work From,Description
Account Executive - Mid Market,Fellow.app,Remote:,Full time,Today,100 - 100K,https://jobgether.com/offer/66f38c45d100f20fd7adee64-account-executive---mid-market,"Qualifications: Minimum 3 years experience selling SaaS, Experience with PLG business model preferred, Proven track record as top performer, Comfortable with negotiation and ambiguity, Strong organizational skills and attention to detail.",Close mid-market SaaS deals with large leads Work with C-Level Executives for solutions   ,Mid-level (2-5 years),Full Remote,"Remote: Account Executive - Mid Market
  Fellow is a Series A venture-backed startup (Craft, iNovia, Felicis) from the founders of Fluidware (acquired by SurveyMonkey).

The world of remote work has changed the way we work forever. Fellow is pioneering the future of work through its category-defining meeting productivity and team management platform. Used by teams in 100+ countries, Fellow has a broad set of customers in many different industries, such as Shopify, Hopin, GoCardless, Proxy, Warner Media, Tucows, Lemonade, KeepTruckin, and many more.

You’ll be joining an ambitious team well on its way to building the next big thing in tech - we're on a mission to help make meetings delightful for everyone and we'd love to have you on this journey with us.

When people come to work at Fellow, they love it and stay. Our retention rate is 95% and we have an employee satisfaction rate of 94%.*"
Seasonal Retail Sales Associate - Dufferin Mall,Gap Inc.,Remote:,Part time,Today,57 - 57K,https://jobgether.com/offer/66f38c3ed100f20fd7adeca1-seasonal-retail-sales-associate---dufferin-mall,"Qualifications: Excellent communication abilities, Customer service experience, Ability to utilize retail technology, Capability to lift up to 30 lbs, Flexible schedule availability.",Engage customers and promote loyalty Drive sales using suggestive selling Maintain a clean and organized work area  ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
Retail Sales Associate - Cornerstone Lloydminster,Gap Inc.,Remote:,Part time,Today,57 - 57K,https://jobgether.com/offer/66f38c3fd100f20fd7adecc7-retail-sales-associate---cornerstone-lloydminster,"Qualifications: Excellent customer service skills, Knowledge and experience in retail.",Connect with customers to drive sales Promote loyalty and educate on programs Support various store operations as needed Maintain organized and clean work areas ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
Remote Associate Inside Sales Associate (NM-UL) - National General,National General,Remote:,Full time,Today,28 - 100K,https://jobgether.com/offer/66f38c2bd100f20fd7ade70e-remote-associate-inside-sales-associate-nm-ul---national-general,"Qualifications: High School Diploma or GED, Property Casualty License preferred but not required in several states, Ability to obtain Property Casualty license within 3 attempts, Proven typing speed while talking with customers, Working knowledge of auto policies and underwriting.",Provide outstanding client service and develop expertise in insurance    ,Entry-level / graduate,Full Remote,"National General is a part of The Allstate Corporation, which means we have the same innovative drive that keeps us a step ahead of our customers’ evolving needs. We offer home, auto and accident and health insurance, as well as other specialty niche insurance products, through a large network of independent insurance agents, as well as directly to consumers.

Job Description

This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.

National General Insurance is an Allstate Business

Want to grow your sales career with one of the fastest growing insurers in the country!? Start a new career in a performance-driven environment where you’re recognized and rewarded for your results?

If you are ready to start working in a fun & exciting environment where making a difference matters, then apply to join our team today!

What makes National General Insurance unique?



Minimum Skills and Competencies:



2024 Remaining Class Start Dates:

Unlicensed:



Licensed:



This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.



Compensation offered for this role is $15 - 15 per hour and is based on experience and qualifications.

At National General, great things happen when our people work together. That’s why when you join our team, we make sure it isn’t just a job — it’s an opportunity. One that takes your skills and pushes them to the next level. One that encourages you to challenge the status quo. And one where you can impact the future for the greater good.

You’ll do all this in a flexible environment that embraces connection and belonging. And with the recognition of several inclusivity and diversity awards, we’ve proven that Allstate empowers everyone to lead, drive change and give back where they work and live.



National General Holdings Corp., a member of the Allstate family of companies, is headquartered in New York City. National General traces its roots to 1939, has a financial strength rating of A– (excellent) from A.M. Best, and provides personal and commercial automobile, homeowners, umbrella, recreational vehicle, motorcycle, supplemental health, and other niche insurance products. We are a specialty personal lines insurance holding company. Through our subsidiaries, we provide a variety of insurance products, including personal and commercial automobile, homeowners, umbrella, recreational vehicle, supplemental health, lender-placed and other niche insurance products.



Direct General Auto & Life, Personal Express Insurance, Century-National Insurance, ABC Insurance Agencies, NatGen Preferred, NatGen Premier, Seattle Specialty, National General Lender Services, ARS, RAC Insurance Partners, Mountain Valley Indemnity, New Jersey Skylands, Adirondack Insurance Exchange, VelaPoint, Quotit, HealthCompare, AHCP, NHIC, Healthcare Solutions Team, North Star Marketing, Euro Accident.



National General Holdings Corp. is an Equal Opportunity (EO) employer – Veterans/Disabled and other protected categories. All qualified applicants will receive consideration for employment regardless of any characteristic protected by law. Candidates must possess authorization to work in the United States, as it is not our practice to sponsor individuals for work visas. In the event you need assistance or accommodation in completing your online application, please contact NGIC main office by phone at (336) 435-2000."
Senior Deal Desk Analyst - NAM Mid Market,Samsara,Remote:,Full time,4 day ago,76 - 98K,https://jobgether.com/offer/66ef5fa0c2a1f7c27862b6bd-senior-deal-desk-analyst---nam-mid-market,"Qualifications: 3+ years in Deal Desk or Sales Operations, Proficiency in SaaS deal construction, Experience with CRM tools (e.g. Salesforce), Ability to analyze deal economics, Excellent communication skills.",Guide structure and execution of Mid Market deals Advise on optimal deal structure and standards   ,Mid-level (2-5 years),Full Remote,"Who we are
Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operations to harness Internet of Things (IoT) data to develop actionable insights and improve their operations. At Samsara, we are helping improve the safety, efficiency and sustainability of the physical operations that power our global economy. Representing more than 40% of global GDP, these industries are the infrastructure of our planet, including agriculture, construction, field services, transportation, and manufacturing — and we are excited to help digitally transform their operations at scale.
Working at Samsara means you’ll help define the future of physical operations and be on a team that’s shaping an exciting array of product solutions, including Video-Based Safety, Vehicle Telematics, Apps and Driver Workflows, Equipment Monitoring, and Site Visibility. As part of a recently public company, you’ll have the autonomy and support to make an impact as we build for the long term.
About the role:
Samsara’s Deal Desk team partners closely with our Sales organization to drive market wins and achieve our revenue targets. We are a highly collaborative, global team from a diverse range of backgrounds, focused on making Samsara Deal Desk a great place to work and develop our careers. As a part of the Deal Desk team, you will be at the center of helping the company achieve its growth targets by acting as a trusted advisor to the Sales teams to get deals across the line. You will work with Sales, Sales Ops, Customer Success, Product, Legal and Finance to define deal success and align on a commercial strategy that is a win-win for the customer, Samsara and our partners. The ideal candidate is highly self-motivated, intellectually curious, possesses a strong commercial mindset and interpersonal skills, thrives in a fast-paced environment and enjoys collaborating with other teams to solve commercial challenges."
Sales Development Representative (French & English Speaking),1Password,Remote:,Full time,5 day ago,31 - 43K,https://jobgether.com/offer/66ed9cae5bc6888deb764d56-sales-development-representative-french-english-speaking,"Qualifications: Strong communication skills in French and English, Up to one year of customer-facing experience, Familiarity with Salesforce and related tools, Strong organisation and time management skills, Commitment to continuous learning and career progression.",Generate sales pipeline through multi-channel prospecting    ,Entry-level / graduate,Full Remote,"Over 100,000 businesses and millions of people use 1Password to protect their most important information, and we believe those people—and the companies they work for—shouldn’t have to choose between security and productivity. We see security as a human challenge, rather than a technological one. It’s hard work, but our mission has always been to ease the tension between security and convenience and help people navigate the digital world without fear or friction. Human-centric security is part of our DNA, but human-centricity is also the backbone of our culture. We encourage big ideas and new ways of working that help us to make the online world a safer place for everyone.

We’re looking for SDRs to join our growing team. The Sales Development team partners closely with our sales teams to drive inbound sales efforts in new and existing accounts. As a SDR, your primary responsibility is to generate sales pipeline through multi-channel prospecting, including emails, video, and social outreach.

This is a remote opportunity within the United Kingdom.

What we're looking for:
Communication & Language: You have strong written and spoken communication skills in French and English, with the ability to engage and develop relationships, sharing information effectively across all professional levels.
Experience: Up to one year or more of relevant customer-facing experience, preferably in sales or related roles where communication and relationship-building skills were essential.
Results-Oriented: You are motivated, driven, and focused on achieving and exceeding targets. You demonstrate discipline and a results-oriented spirit in all your efforts."
Account Executive - India,Remote,Remote:,Full time,1 day ago,37 - 41K,https://jobgether.com/offer/66f2aa8090614097a637512b-account-executive---india,"Qualifications: Proven sales experience in APAC regions, Strong knowledge of sales processes, Experience with tech stack tools, Excellent verbal and written communication skills, Business fluency in English and Japanese.",Achieve and exceed sales quotas Manage sales cycle from prospecting to closing   ,Mid-level (2-5 years),Full Remote,"About Remote
Remote is solving global remote organizations’ biggest challenge: employing anyone anywhere compliantly. We make it possible for businesses big and small to employ a global team by handling global payroll, benefits, taxes, and compliance. Check out remote.com/how-it-works to learn more or if you’re interested in adding to the mission, scroll down to apply now.
Please take a look at remote.com/handbook to learn more about our culture and what it is like to work here. Not only do we encourage folks from all ethnic groups, genders, sexuality, age and abilities to apply, but we prioritize a sense of belonging. You can check out independent reviews by other candidates on Glassdoor or look up the results of our candidate surveys to see how others feel about working and interviewing here.
All of our positions are fully remote. You do not have to relocate to join us!
What this job can offer you
Sales helps our prospective customers and active customers to fully experience our Global HR Platform! We are the team that responds to incoming queries and helps customers understand how to maximize Remote’s full suite of products to meet their employment needs. We enable them to embody our value of Transparency and we have a fair price guarantee!
This is an exciting time to join Remote and make a personal difference in the global employment space as an Account Executive, joining our APAC Sales team. This is a pure hunting role as an Account Executive, driving net new business for Remote.
What you bring
Technical capabilities:"
Seasonal Retail Sales Associate - Windsor Crossing,Gap Inc.,Remote:,Part time,Today,57 - 57K,https://jobgether.com/offer/66f38c3fd100f20fd7adeceb-seasonal-retail-sales-associate---windsor-crossing,,,,,
"Account Director, Social",Monks,Remote:,Full time,1 day ago,90 - 105K,https://jobgether.com/offer/66f2aac390614097a637636a-account-director-social,"Qualifications: 7+ years experience in social media account management, Experience with high-tech clients preferred, Strong strategic thinking and problem-solving abilities, Exceptional leadership and team management skills, Experienced in managing multiple complex projects.",Develop and maintain strong client relationships    ,Senior (5-10 years),Full Remote,"About the Role
We are looking for an Account Director to join our high energy team for one of our large tech clients. As an Account Director, you will partner closely with the team’s senior leadership, client marketing partners, and internal marketing teams to support successful social media marketing initiatives. The ideal candidate is a go-getter who jumps on new opportunities, builds strong relationships with senior-level clients, gets nerdy about what they do, and works quickly and flexibly to get the job done.
Responsibilities:
Develop and maintain strong relationships with clients and their teams as well as internal cross-functional discipline leads.
Oversee client financials and account profitability, managing the financial process, including MSAs, SOWs, budgets, revenue tracking and internal reporting, ensuring profitability and resource optimization.
Partner with clients to become fluent in their business and provide strategic guidance to grow and develop overall social media programs and campaigns.
Oversee project management to ensure alignment across workstreams, ensuring deliverables are produced on time, on budget, and to clients’ specifications.
Manage day-to-day communication and collaborate with cross-functional teams to deliver exceptional work that pushes the boundaries of creativity and innovation.
Coordinate the production process for multiple social media projects with excellent time-management and communication skills.
Liaise with regional teams on global scaled campaigns, run projects requiring  localization of creative assets, and help traffic final assets."
Seasonal Retail Sales Associate (Early Morning) - Yorkdale Shopping Center,Gap Inc.,Remote:,Part time,Today,57 - 57K,https://jobgether.com/offer/66f38c40d100f20fd7adecf7-seasonal-retail-sales-associate-early-morning---yorkdale-shopping-center,"Qualifications: Ability to effectively communicate, Customer service focus, Flexible schedule availability, Basic proficiency with retail technology, Able to lift up to 30 lbs.",Provide excellent customer service Promote loyalty programs Engage customers to drive sales  ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
