expiry,title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,budget,posted_time,payment_method,job_tags
6 days left,Permanent Bottle Stickers,"I'm in need of permanent stickers for bottles. Please consider the following:

- Sticker Type: The stickers must be permanent, able to withstand various conditions without peeling or fading.
- Design: While the shape of the stickers has not been predetermined, creative input for a custom shape is welcome and will be appreciated.
- Purpose: Primarily, these stickers will serve branding purposes. However, they should also be designed with potential decorative elements in mind.

Ideal candidates for this project should have experience in sticker design and printing, particularly for a branding purpose. Creativity and a keen eye for design will be key to successfully delivering this project.",,,,"Covers & Packaging, Graphic Design, Logo Design, Photoshop, T-Shirts",,,,,,,https://www.freelancer.com/projects/covers-packaging/permanent-bottle-stickers,₹1500-12500 INR,41 minutes ago,Open  Posted 41 minutes ago •  Ends in 6 days,"Covers & Packaging, Graphic Design, Logo Design, Photoshop, T-Shirts"
29 days left,JOYJUNCTION Brand Logo Design - 23/09/2024 04:12 EDT,"I need a logo for JOYJUNCTION, a brand that provides a variety of educational toys for children. 

Key Objectives:
- Create a logo that reflects the engaging and dynamic nature of JOYJUNCTION.
- The logo should be suitable for a brand targeting children and their parents.

Ideal Skills:
- Graphic Design
- Logo Design
- Branding

Experience with designing for children's brands or educational products would be a significant advantage.",,,,"3D Design, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/contest/joyjunction-brand-logo-design-edt-2462966,,,,
6 days left,Minimalist Vibrant Logo Design,I'm in need of a talented graphic designer who can create a minimalist yet vibrant logo for my brand. The ideal candidate should have a strong portfolio of minimalist designs and experience with creating logos. The designer should be able to translate my brand's vision into a striking logo that stands out. And it would be better if you know Kannada,,,,"Graphic Design, Illustrator, Logo Design, Photoshop, Photoshop Design",,,,,,,https://www.freelancer.com/projects/logo-design/minimalist-vibrant-logo-design-38604990,,,,
6 days left,Classic Business Card Design & Logo Upgrade,"I'm looking for a designer who can create classic-styled business cards for me, along with a redesign of my current logo.

Business Card Requirements:
- A classic design
- Inclusion of my name, title, contact details, and the company logo and tagline

Logo Improvement:
- A complete graphic redesign of the current logo

Ideal skills for this project:
- Graphic Design
- Logo Design
- Business Card Design
- Attention to detail
- Understanding of classic style elements.",,,,"Business Cards, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/projects/graphic-design/classic-business-card-design-logo,$10-30 USD,about 1 hour ago,Open  Posted about 1 hour ago •  Ends in 6 days,"Graphic Design, Logo Design, Business Cards, Photoshop, Illustrator"
4 days left,Modern Logo Refresh for New Market,"I'm looking for a designer to refresh my current logo to better suit a new market. The style of the new logo should be modern and minimalistic, while still retaining some key elements of the existing design. Liquimech Has predominately been a design, engineering, and manufacturing company for the mining and civil markets. we have recently developed cutting-edge solutions for the agricultural markets and would like to have our logo reflect that. 

our website is  

Key Requirements:
- Keep the font style and the icon or symbol from the current logo
- Incorporate a modern and minimalistic design approach
- Convey a sense of innovation and progress through the design

Ideal Skills and Experience:
- Strong graphic design skills with a focus on logo design
- Experience with modern and mini...",,,,"3D Design, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/contest/modern-logo-refresh-for-new-market-2462961,,,,
6 days left,Social Media Graphic Designer,"I'm in need of a talented graphic designer who can create eye-catching social media graphics for my Facebook page.

Ideal Skills:
- Proficiency in graphic design software such as Adobe Illustrator and Photoshop.
- Previous experience designing graphics for Facebook.
- Strong understanding of current design trends and Facebook's visual aesthetics.

Your task will be to enhance my brand's visual presence on Facebook, engaging my audience and promoting my content effectively.",,,,"Graphic Design, Logo Design, Photoshop, Photoshop Design",,,,,,,https://www.freelancer.com/projects/graphic-design/social-media-graphic-designer-38604895,$15-25 USD / hour,about 1 hour ago,Open  Posted about 1 hour ago •  Ends in 6 days,"Graphic Design, Logo Design, Photoshop, Photoshop Design"
6 days left,Timeless Branding for Digital Presence,"I'm seeking a branding expert to create materials that reflect a classic and timeless aesthetic for my brand. The main focus will be on designing for an online audience, so the materials should be tailored for digital use. 

Ideal skills and experience:
- Expertise in creating logos, business cards and social media graphics
- Strong understanding of classic and timeless design principles
- Experience in designing primarily for online platforms
- Proficiency in using digital design tools and software

I look forward to seeing your proposals.",,,,"Business Cards, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/projects/logo-design/timeless-branding-for-digital-presence,,,,
6 days left,Logo Refresh: Modern Minimalist Touch,"I'm looking for a designer to give my existing logo a fresh and modern twist, without straying too far from its original design. The colour scheme of Cyan, black, white, and grey should be retained. For reference, our website is www.roadrunner.kiwi.

Key Aspects:
- Maintain similar to original colour scheme
- Emphasis on modern fonts and updated graphics

Ideal Skills:
- Proficiency in graphic design
- Experience with logo design and brand identity
- Strong understanding of minimalist design principles
- Ability to work with specified colour palettes",,,,"Corporate Identity, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/contest/logo-refresh-modern-minimalist-touch-2462946,,,,
2 days left,Modern Minimalist Travel Brand Logo Design,"I'm launching a travel brand named ""Roava"", starting with a neck pillow. I need a modern and sleek logo that embodies the essence of contemporary design. 

Key Requirements:
- The logo should be in a neutral and minimalist color scheme. Sky blue is a good colour 
- It should incorporate travel-related icons, like a plane or globe, but in a subtle and stylish way. 

Attaching an AI generated logo which I liked. Also attaching the product photo.",,,,"Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/contest/modern-minimalist-travel-brand-logo-design-2462940,,,,
6 days left,Beauty Surgery Company Promotional Flyers Design,"I'm looking for a professional designer who can create two one-page promotional flyers for my beauty surgery company. The flyers should be in two different formats: DIN-A4 and DIN-A6, both containing the same information.

The main focus of these flyers is to promote a limited-time offer, so the design should be eye-catching and effectively convey the urgency of the promotion. The company logo needs to be prominently featured on the flyers, while other elements like before and after photos or client testimonials are not required for this project.

Ideal Skills:
- Graphic Design
- Adobe Suite (Illustrator, Photoshop)
- Print Design

Experience:
- Previous work in creating promotional material
- Familiarity with designing for specific print sizes 
- Portfolio showcases engaging, high-qu...",,,,"Flyer Design, Graphic Design, Illustrator, Logo Design, Photoshop",,,,,,,https://www.freelancer.com/projects/graphic-design/beauty-surgery-company-promotional,,,,
