title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills,expiry
Salesman,"We are hiring a Sales for Technology and Digital Marketing , come and join our team in Abu DhabiAbout Innova Stars for Marketing Technology: Innova Stars is at the forefront of the digital marketing revolution, providing cutting-edge solutions to enhance online engagement and sales. We are committed to delivering innovative strategies that drive success for our clients in the e-commerce space.Position Overview: We are in search of a Sales for Technology and Digital Marketing who is proficient in Arabic to join our dynamic team. The successful candidate will be responsible for sales activities increase our reach for customers.Digital Sales:- Digital sales refer to selling products and services online, utilizing various digital channels like websites, social media, email, and chatbots.- It's crucial because it allows businesses to connect with their target audience on commonly used platforms, offering benefits like faster prospecting and cost-effectiveness.- Strategies for an effective digital sales model include sales automation, live chat, personalized offers, and product demos.Digital Marketing:- Digital marketing is about connecting with and influencing potential customers online, aiming to increase brand awareness and interest at the top of the sales funnel.- It uses assets like websites, videos, images, written content, and social media pages, along with strategies like pay-per-click advertising, SEO, and paid social.Combining Sales and Marketing:- Digital selling and marketing work together to win sales, with marketing efforts often leading to inbound sales activities.- A robust digital selling strategy leverages digital tools, social platforms, and communication methods to turn an audience into buyers.To thrive in digital sales, it's essential to understand the sales process, target market, and general sales goals, focusing on the individual customer and promoting on-sale products or services.If you're looking to enhance your sales strategy or need more detailed information on digital sales and marketing, feel free to ask!What We Offer:Competitive salary with performance incentives.Professional development opportunities.A collaborative work environment where innovation is encouraged.",Abu Dhabi · UAE,Innova Stars for Marketing Technology LLC,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/salesman-5147163/,1 hour ago,,,
متسوّق سري,"You will be required to follow specific guidelines and scenarios provided by your employer to evaluate the staff's performance, adherence to company policies, and overall customer experience.Following precise guidelines and scenarios provided by your employer is essential for Mystery Shoppers, as this enables them to evaluate staff performance, compliance with company policies, and the overall customer experience.Submitting detailed reports and constructive feedback on a regular basis is a pivotal aspect of the Mystery Shopper role, as it empowers businesses to enhance their operations and elevate the overall customer experience.Mystery Shoppers play a crucial role in evaluating customer service by making undisclosed visits to an array of businesses, such as retail stores, restaurants, and service establishments.In the role of a Mystery Shopper, meticulous and unbiased documentation is key, encompassing employee behavior, store cleanliness, product knowledge, and adherence to sales techniques.",Albukairyah · Saudi Arabia,HS Brands International,,['Health and Wellness'],['Part time'],,,Entry,,0-1 Years,https://www.bayt.com/en/saudi-arabia/jobs/%D9%85%D8%AA%D8%B3%D9%88-%D9%82-%D8%B3%D8%B1%D9%8A-5194475/,2 hours ago,,,
مهندس زراعي (أراضي ومحاصيل صحراوية),تطوير وتحسين انتاجية الأراضي الزراعية في المناطق الصحراوية,Egypt,SJA,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A-%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%88%D9%85%D8%AD%D8%A7%D8%B5%D9%8A%D9%84-%D8%B5%D8%AD%D8%B1%D8%A7%D9%88%D9%8A%D8%A9-5191780/,5 hours ago,,,
Lead Customer Success Specialist,"In the middle of the energy transition, businesses and governments are faced with significant challenges. But the pace and scale of change mean every decision is made under mounting pressure.  Now, more than ever, companies need reliable data, analytics and actionable insight.Wood Mackenzie is the leading global provider of data and analytics solutions for the renewables, energy and natural resources sectors. Wood Mackenzie’s services include data, analytics, insight, events and consultancy.  A trusted partner for over 50 years, Wood Mackenzie’s team has over 2,300 experts across more than 30 global locations who cover the entire supply chain.Wood Mackenzie ValuesInclusive – we succeed togetherTrusting – we choose to trust each otherCustomer committed – we put customers at the heart of our decisionsFuture Focused – we accelerate changeCurious – we turn knowledge into actionThe Customer Organization (CO) is a division of Wood Mackenzie focused on retaining subscription revenue & supporting the company’s growth through quality Customer Experience (CX). Each team under the CO umbrella has a key function whether it's to embed products, deliver satisfaction, deliver agreed customer outcomes or internally, define the CX strategy or enable the division's success.Customer Success team within the CO is responsible for the complete post-sale success and satisfaction of Wood Mackenzie customers. CS team plays a crucial role in the entire customer lifecycle and proactively helps customers drive value from their subscription. Leveraging account health scores and VoC, the CS team members create effective strategies for deriving actionable insights to measure and improve customer retention and satisfaction. If you are passionate about maximizing impact and creating exceptional experience for every customer, join us!As a Lead Customer Success Specialist, you will work as an individual contributor within the High Touch Customer Success Team. You will engage with Wood Mackenzie high value customers across specific industry segments, MENA region and deliver tailored success programs to help your customers discover the full potential of Wood Mackenzie.You will work in close collaboration with the wider business, with the goal of streamlining and structuring the customer journey more efficiently for maximum impact and value. As a trusted advisor, you will ensure our customers have the products and services that best fit their immediate needs and their future use cases.Main ResponsibilitiesIn this customer facing role, you are responsible to deliver the desired business outcomes, steered by our Customer Success Platform, in a human led and digitally enabled model. Key responsibilities include:Build & maintain strong relationships within assigned high value customer accounts across MENA region, and continually delight them with a positive, customer centric attitude.Work collaboratively with customers to ensure that they are finding value in our products and services. Develop & demonstrate clear understanding of the customer’s goals, needs, expectations and preferences continuously.During onboarding, ensure that customers are properly trained, equipped with the right tools & resources, and educated on subscribed WM products; to optimize product usage and to minimize their adoption time. Ensure customer is ready for a successful launch and long-term success and growth.Collaborate with internal teams to facilitate early increased adoption and maximum product usage. Also, coach customers to adopt relevant practices and to maximize their investment in the product to achieve or exceed their goals.Collaborate with internal stakeholders for the delivery of high-quality customer experience and system/application performance; ensuring future demand from growth and projects is understood and factored into capacity plansMonitor and report customer health and develop plans for improvements where risks/issues that may prevent or delay success for the customer are identified, drive risk mitigation measures.Be a customer advocate, capturing & delivering customer feedback, to respective teams and identifying opportunities for improvements.Be the voice of the customers in the company, providing the suitable balance between the customer’s requests and the company’s vision.Identify, measure, track and communicate important insights via quarterly business reviews (QBRs) that your customers and AMs can use to assess their outcomes and influence the other responsibilities.Be commercially minded and work in proximity to the Account/Sales Management Team to position for business retention and growth, contract renewal and service extension.Identify need for improvement in process and work collaboratively across teams to effect this.Develop and share best practices with team members to continually improve quality, effectiveness, and efficiency of our processes. Coach team members on customer success best practices.",Riyadh · Saudi Arabia,Wood Mackenzie,,['Relationship and Stakeholder Management'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/saudi-arabia/jobs/lead-customer-success-specialist-5194020/,21 hours ago,,,
oil and gas Operation manager,"Job Title: Sales and Operations ManagerCompany: Elevate Petrochemical LLCLocation: Dubai, UAEJob Type: Full-TimeSalary: Starting at 10,000 AED/month + Monthly Sales BonusJob Description:Elevate Petrochemical LLC is seeking a dynamic and results-driven Sales and Operations Manager to join our team. This full-time role is integral to driving both sales growth and operational efficiency in the oil and gas sector. The ideal candidate will have a strong background in sales management, operations, and customer relations, with a proven track record in the energy or petrochemical industry.Key Responsibilities:Sales Strategy & Management: Develop and implement sales strategies to achieve revenue targets and expand the client base.Client Relationship Management: Build and maintain strong relationships with key clients and partners, ensuring customer satisfaction and long-term business relationships.Operations Oversight: Oversee day-to-day operations to ensure the smooth distribution of petrochemical products and manage supply chain efficiency.Team Leadership: Lead and manage the sales and operations teams, providing guidance, training, and performance feedback.Market Analysis: Conduct market research to identify new opportunities, trends, and customer needs in the oil and gas sector.Reporting & Analysis: Monitor sales performance, prepare reports, and analyze data to optimize strategies and improve operational processes.Collaboration: Work closely with procurement, logistics, and marketing teams to ensure alignment and operational excellence.Qualifications:Bachelor's degree in Business, Engineering, or related field (MBA is a plus).Minimum of 5 years of experience in sales and operations management, preferably in the oil, gas, or petrochemical industry.Strong understanding of market trends and distribution processes in the energy sector.Excellent leadership, communication, and negotiation skills.Proven ability to meet and exceed sales targets.Strong organizational and problem-solving skills.Benefits:Starting salary of 10,000 AED/month.Monthly bonus based on sales performance.Opportunities for professional development and career growth.If you’re passionate about driving growth and operational excellence in the oil and gas industry, we encourage you to apply and become a key player in our team.",Dubai · UAE,Elevate petrochemicals trading LLC,,['Administrative and Secretarial Services'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/oil-and-gas-operation-manager-5194061/,21 hours ago,,,
Personal Assistant,"We are looking for a highly organized and creative Personal Assistant for Plastic Sergeon with strong content creation skills to join our dynamic team in Dubai. The ideal candidate will have experience managing administrative tasks and will also be proficient in creating engaging video content, particularly for platforms like Instagram. You should be a fluent speaker of English and Arabic, with a deep understanding of social media trends and tools. Key Responsibilities: ● Provide full personal assistance and administrative support to the employer.● Organize and manage daily schedules, meetings, and appointments.● Create and edit engaging video content for Instagram (Reels, Stories, Posts) in line with brand aesthetics. ● Manage social media accounts by posting, engaging with followers, and tracking performance. ● Assist in organizing photo and video shoots, including planning, filming, and editing. ● Handle correspondence and communication in both English and Arabic. ● Perform other personal and professional tasks as required by the employer. Requirements: ● Proven experience as a Personal Assistant or in a similar administrative role. ● Proficient in content creation, especially video production for Instagram (experience with editing apps/tools like Adobe Premiere, InShot, etc.). ● Excellent command of English and Arabic (spoken and written). ● Strong organizational and time-management skills. ● Creativity and ability to keep up with current social media trends. ● Experience in managing social media accounts and creating marketing content. ● Strong interpersonal skills and the ability to handle confidential information.What We Offer: ● Competitive salary package. ● A dynamic and creative work environment. ● Opportunities for career growth and professional development.",Dubai · UAE,Podruzki Medical Center,,['Administrative and Secretarial Services'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/personal-assistant-5194093/,Yesterday,,,
Full Stack Developper,"Responsibilities:Develop and maintain web applications using React.js and TypeScriptWork on server-side applications with Node.jsDesign and manage databases with PostgreSQLImplement caching solutions using RedisConfigure and manage web servers using NGINXDevelop and maintain RESTful APIsCollaborate with cross-functional teams to define, design, and ship new featuresEnsure the performance, quality, and responsiveness of applicationsIdentify and correct bottlenecks and fix bugsHelp maintain code quality, organization, and automatization",Cairo · Egypt,amana,,"['Accounting, Finance, and Insurance']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/full-stack-developper-5141776/,Yesterday,,,
Junior UI/UX Designer,"Research & Analysis: Conduct user research to understand user needs, preferences, and behaviors. Analyze data to inform design decisions.Wire framing & Prototyping: Create wireframes, user flows, and site maps to effectively communicate interaction and design ideas.UI Design: Craft high-quality pixel perfect UI designs, including detailed visual design and interaction specifications. Ensure designs are visually appealing, user-friendly, and aligned with brand and business guidelines.UX Design: Design intuitive and engaging user experiences for web and mobile applications. Conduct usability testing to iterate and refine designs based on user feedback.Collaboration: Work closely with cross-functional teams including product managers, developers, designer and other stakeholders to ensure seamless integration of design into the product development process.Design Systems: Contribute to the maintenance and development of design systems and style guides to ensure consistency across all digital products.Documentation: Create and maintain comprehensive design documentation to communicate design decisions and guidelines to stakeholders and development teams.Continuous Improvement: Stay up-to-date with the latest design trends, tools, and technologies. Proactively seek opportunities to enhance skills and knowledge.",Cairo · Egypt,amana,,['Engineering and Technology'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/junior-ui-ux-designer-5140348/,Yesterday,,,
محامي,شركة محاماة ترغب بتعين محامي مزاول عدد٣ للعمل بمحاكم جنوب المملكة و محامي مزاول عدد ٥ للعمل بمحاكم العاصمة .,Karak · Jordan,العربية العالمية,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/jordan/jobs/%D9%85%D8%AD%D8%A7%D9%85%D9%8A-5193487/,Yesterday,,,
حوكمة شركات,عمل على اعداد ادلة السياسات والاجراءات للادارات داخل الشركات كما عمل على اعداد مصفوفة الصلاحيات وتجهيز اللوائح والسياسات والانظمة لمجلس الادارة والادارة التنفيذية,Buraidah · Saudi Arabia,Finflow,,['Health and Wellness'],['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/saudi-arabia/jobs/%D8%AD%D9%88%D9%83%D9%85%D8%A9-%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-5193994/,Yesterday,,,
